"Qty";"Value";"Device";"Package";"Parts";"Description";"MF";"MPN";"OC_FARNELL";"OC_MOUSER";"OC_NEWARK";"SPICEPREFIX";
"1";"";"KK-156-2";"KK-156-2";"X8";"KK 156 HEADER";"MOLEX";"";"unknown";"538-22-27-2021, 538-22-01-2026,538-08-50-0032";"unknown";"";
"1";"";"MIC5504";"SOT23-5L";"IC19";"";"";"";"";"";"";"";
"6";"";"PINHD-1X2";"1X02";"X12, X13, X14, X15, X16, X17";"PIN HEADER";"";"";"";"855-M20-9990246";"";"";
"1";"";"PINHD-1X6";"1X06";"JP1";"PIN HEADER";"";"";"";"855-M20-9990646";"";"";
"1";"0";"R-EU_R1210";"R1210";"R17";"RESISTOR, European symbol";"";"";"";"603-AC1210JR-070RL";"";"R";
"1";"100k 0.1%";"R-EU_R0603";"R0603";"R25";"RESISTOR, European symbol";"";"";"";"284-APC0805B100KN";"";"R";
"6";"100nF";"C-EUC0402";"C0402";"C12, C13, C15, C16, C17, C18";"CAPACITOR, European symbol";"";"";"";"710-885012105016";"";"C";
"2";"100nF";"C-EUC0603";"C0603";"C24, C25";"CAPACITOR, European symbol";"";"";"";"710-885012207072";"";"C";
"1";"100pF";"C-EUC0603";"C0603";"C22";"CAPACITOR, European symbol";"";"";"";"710-885012006023";"";"C";
"5";"10k";"R-EU_R0603";"R0603";"R18, R21, R22, R24, R30";"RESISTOR, European symbol";"";"";"";"603-RC0603FR-0710KL";"";"R";
"3";"10µF";"C-EUC0805";"C0805";"C14, C38, C39";"CAPACITOR, European symbol";"";"";"";"581-0805YD106MAT2A";"";"C";
"1";"10µH";"WE-TPC";"WE-TPC";"L1";"";"";"";"";"710-744042100";"";"";
"1";"13k3";"R-EU_R0805";"R0805";"R3";"RESISTOR, European symbol";"";"";"";"652-CR0805FX-1332ELF";"";"R";
"6";"150nF";"C-EUC0603";"C0603";"C29, C30, C31, C35, C36, C37";"CAPACITOR, European symbol";"";"";"";"810-C1608X5R1E154K";"";"C";
"1";"150pF";"C-EUC0805";"C0805";"C5";"CAPACITOR, European symbol";"";"";"";"963-QMK212SD151KD-T";"";"C";
"1";"182k";"R-EU_R0805";"R0805";"R4";"RESISTOR, European symbol";"";"";"";"71-CRCW0805-182K-E3";"";"R";
"6";"1k1";"R-EU_R0603";"R0603";"R41, R42, R43, R53, R54, R55";"RESISTOR, European symbol";"";"";"";"603-AC0603FR-071K1L";"";"R";
"7";"1nF";"C-EUC0603";"C0603";"C1, C26, C27, C28, C32, C33, C34";"CAPACITOR, European symbol";"";"";"";"710-885012206059";"";"C";
