"Qty";"Value";"Device";"Package";"Parts";"Description";"OC_MOUSER";"SPICEPREFIX";
"5";"";"1,6/0,8";"1,6/0,8";"+5V, GND, HEATER, SCL, SDA";"THROUGH-HOLE PAD";"";"";
"1";"100pF";"C-EUC0805";"C0805";"C1";"CAPACITOR, European symbol";"710-885012207080";"C";
"1";"10nF";"C-EUC0805";"C0805";"C2";"CAPACITOR, European symbol";"710-885012207092 ";"C";
"2";"1M 0,1%";"R-EU_R0805";"R0805";"R8, R9";"RESISTOR, European symbol";"603-RT0805BRD071ML";"R";
"2";"1k";"R-EU_R0805";"R0805";"R5, R6";"RESISTOR, European symbol";"71-CRCW08051K00FKEAC ";"R";
"1";"20k 0,1%";"R-EU_R0805";"R0805";"R1";"RESISTOR, European symbol";"756-PCF0805R20KBI";"R";
"1";"2k 0,1%";"R-EU_R0805";"R0805";"R10";"RESISTOR, European symbol";"279-RN73C2A2K0BTD";"R";
"1";"2k 0.1%";"R-EU_R0805";"R0805";"R7";"RESISTOR, European symbol";"279-RN73C2A2K0BTD";"R";
"1";"5,1M";"R-EU_R0805";"R0805";"R4";"RESISTOR, European symbol";"71-CRCW08055M10FKEA";"R";
"1";"68k @25°C, 1%, ß=4100 K";"NTC-0805";"R0805";"R2";"";"";"";
"1";"AD7995";"AD7995";"SOT23-8";"IC3";"";"584-AD7995YRJZ0500R7 ";"";
"1";"AT24CS04-SOT23";"AT24CS04-SOT23";"SOT23-5L";"IC1";"";"556-AT24CS04-STUM-T";"";
"1";"ESDA6V1SC5";"ESDA6V1SC5";"SOT23-5L";"IC4";"";"";"";
"1";"LUMBERG_KLB_4";"LUMBERG_KLB_4";"3.5_MM_AUDIO_JACK";"X1";"";"";"";
"1";"MVS0608.02";"MVS0608.02";"VIBRA-SNS";"R3";"";"";"";
"1";"TS507CLT";"TS507CLT";"SOT23-5L";"IC2";"";"511-TS507CLT";"";
