"Qty";"Value";"Device";"Package";"Parts";"Description";"OC_FARNELL";"OC_MOUSER";"SPICEPREFIX";
"2";"";"PINHD-1X2";"1X02";"X4, X6";"PIN HEADER";"";"855-M20-9990246";"";
"1";"0";"R-EU_R1210";"R1210";"R17";"RESISTOR, European symbol";"";"603-AC1210JR-070RL";"R";
"7";"100nF";"C-EUC0402";"C0402";"C11, C12, C14, C15, C16, C22, C23";"CAPACITOR, European symbol";"";"710-885012105016";"C";
"1";"100pF";"C-EUC0603";"C0603";"C20";"CAPACITOR, European symbol";"";"710-885012006023";"C";
"5";"10µF";"C-EUC0805";"C0805";"C2, C3, C4, C5, C13";"CAPACITOR, European symbol";"";"81-GRM21BR61E106MA3L";"C";
"2";"12pF";"C-EUC0402";"C0402";"C17, C18";"CAPACITOR, European symbol";"";"77-VJ0402A120JXAPBC";"C";
"2";"150nF";"C-EUC0603";"C0603";"C7, C9";"CAPACITOR, European symbol";"";"810-C1608X5R1E154K";"C";
"2";"1k1";"R-EU_R0603";"R0603";"R10, R16";"RESISTOR, European symbol";"";"603-AC0603FR-071K1L";"R";
"2";"1nF";"C-EUC0603";"C0603";"C6, C8";"CAPACITOR, European symbol";"";"710-885012206059";"C";
"2";"1µF";"C-EUC0402";"C0402";"C10, C24";"CAPACITOR, European symbol";"";"81-GRM155R61C105MA2D";"C";
"2";"20m";"R-EU_R1206";"R1206";"R8, R15";"RESISTOR, European symbol";"";"791-WW12DR020FTL";"R";
"2";"210k";"R-EU_R0603";"R0603";"R4, R14";"RESISTOR, European symbol";"";"603-RC0603FR-10220KL";"R";
"2";"22pF";"C-EUC0402";"C0402";"C19, C21";"CAPACITOR, European symbol";"";"710-885012005027";"C";
"1";"24MHz";"XRCHA_F_A";"HCR2520";"Q1";"";"";"81-XRCHA24M000F0A1R0";"";
"1";"2k2";"R-EU_R0603";"R0603";"R18";"RESISTOR, European symbol";"";"603-RC0603FR-072K2L";"R";
"1";"32768kHz";"9HT11";"2X1.2";"Q2";"";"";"717-9HT11-32.7KDZC-T";"";
"1";"330";"R-EU_R0603";"R0603";"R19";"RESISTOR, European symbol";"";"594-MCT06030C3300FP5";"R";
"4";"4,7k";"R-EU_R0805";"R0805";"R5, R6, R7, R9";"RESISTOR, European symbol";"";"652-CR0805-FX4701GLF";"R";
"4";"4.7k";"R-EU_R0603";"R0603";"R1, R2, R11, R12";"RESISTOR, European symbol";"";"603-RC0603FR-0710KL";"R";
"1";"470µF";"C-EEEFK";"C_EEEFK-10X10";"C1";"";"";"667-EEE-FK1E471P";"";
"1";"50R @ 20MHz";"L-0603";"L0603";"L1";"";"";"81-BLM18AG151SZ1D";"";
"2";"665k";"R-EU_R0603";"R0603";"R3, R13";"RESISTOR, European symbol";"";"71-CRCW0603-665K-E3";"R";
"1";"ATSAMC21G";"ATSAMC21G";"TQFP48";"IC6";"";"";"556-ATSAMC21G18A-AUT";"";
"1";"B3S-1000";"B3S-1000";"B3S";"X9";"";"177807";"653-B3S-1000";"";
"1";"IGRID-10";"IGRID-10";"I-GRID-10";"X3";"";"";"538-501645-1020, 538-501646-1000";"";
"1";"IGRID-14";"IGRID-14";"I-GRID-14";"X2";"";"";"538-501646-1400";" 538-501645-1420 ";
"2";"INA196";"INA196";"SOT23-5L";"IC4, IC5";"";"";"595-INA196AIDBVT";"";
"2";"IRF9392PBF";"IRF9392PBF";"SO8";"T2, T4";"";"";"942-IRF9392TRPBF";"";
"1";"JTAG-EDGE-CON";"JTAG-EDGE-CON";"DEBUG-CON";"X8";"";"";"649-1001878311110TLF";"";
"1";"LD1117S50C";"LD1117S50C";"SOT223";"IC1";"";"";"511-LD1117S50C-TR";"";
"1";"MCP1802";"MCP1802";"SOT23-5L";"IC3";"";"";"";"";
"1";"MICRO-LATCH-4";"MICRO-LATCH-4";"MICRO-LATCH-4";"X5";"";"";"538-53253-0470, 538-51065-0400";"";
"1";"NANOFIT-2";"NANOFIT-2";"NANOFIT-2-90";"X1";"";"";"538-105313-2102";" 538-105325-1002";
"1";"NANOFIT-7";"NANOFIT-7";"NANOFIT-7";"X7";"";"";"538-105313-1107, 538-105307-1207";"";
"2";"NVR4003NT3G";"NVR4003NT3G";"SOT23";"T1, T3";"";"";"863-NVR4003NT3G";"";
"1";"PINHD-2X2";"PINHD-2X2";"2X02";"X10";"PIN HEADER";"";"571-5-146254-2";"";
"1";"ST2378E";"ST2378E";"TSSOP20";"IC2";"";"";"511-ST2378ET";"";
